rgi_index,volume,volume_change,area
16427,2200521.5522613525,185512.1077003479,87500.0
16428,2407820.6376342773,-470418.1233215332,117500.0
16429,82741291.14102173,-19455399.598100185,1470000.0
16430,42382596.58249664,-8748881.860595703,1065000.0
16431,10612810.183319092,-6323203.769104004,440000.0
16432,45760336.334472656,-17837255.207489014,1120000.0
16433,87450715.0090332,-22827103.146224976,1417500.0
16434,53073964.60479736,-13383399.976196289,940000.0
16435,59199830.40307617,-22332813.50579071,1507500.0
16436,13651161.165039062,-7715321.3515625,432500.0
16437,12139430.479492188,-6720241.703369141,300000.0
16438,631966583.5483322,-179047117.54560852,7227500.0
16439,7239944.537902832,-5842166.354248047,320000.0
16440,600181254.5841064,-123500868.408027,8190000.0
16441,3280502.3486328125,-3364864.8310546875,132500.0
16442,31568429.72415161,-9581129.924316406,600000.0
16443,13242977.274658203,-2126932.726989746,340000.0
16444,15240240.489562988,-6043677.235267639,645000.0
16445,16227113.80102539,-6465128.029296875,510000.0
16446,11108964.917480469,-4073759.7488822937,380000.0
16447,9206024.605091095,-4918046.133911133,327500.0
16448,2546238.297088623,-291463.8784713745,145000.0
16449,18429255.37607193,-4371255.602684021,547500.0
16450,64014621.184661865,-23700209.07017517,1672500.0
16451,9654062.440979004,-4249553.775512695,372500.0
16452,13406418.988952637,-4443328.968444824,472500.0
16453,98671942.81640625,-21564802.40664673,1747500.0
16454,4160155.4126052856,-685354.7662010193,180000.0
16455,2848598.0890808105,-27574.296241760254,205000.0
16456,2085475.57421875,-323620.32165527344,92500.0
16457,3264459.48928833,-474006.7176513672,145000.0
16458,47509720.52722168,-10753510.15473938,1107500.0
16459,11427956.932617188,-923401.2581825256,387500.0
16460,16580149.456054688,-10274817.28012085,410000.0
16461,11625073.532821655,553123.8561706543,387500.0
16462,891639356.6616211,-127439634.61151123,7910000.0
16463,124041797.33203125,-23305523.355825424,1565000.0
16464,30481429.236083984,-46717.12994003296,715000.0
16465,6469642.788574219,-749299.0151367188,167500.0
16466,20102030.38119507,-438853.8824210167,505000.0
16467,843645466.8914251,-47740816.89365244,14400000.0
16468,75365657.81542969,-16973512.670318604,1680000.0
16469,3677761759.2125854,-335356858.13482666,36845000.0
16470,22887707.150878906,-1363693.882434845,835000.0
16471,93559031.81359863,-2763300.5676956177,2475000.0
16472,24651163.373840332,-2833824.3380584717,910000.0
16473,4213945.472900391,-424391.2599182129,100000.0
16474,8554485.813476562,706727.9791259766,282500.0
16475,886921.3552246094,-16003.270874023438,70000.0
16476,2350652.0303497314,-827643.4590454102,132500.0
16477,5365786.5615234375,-1338620.6266441345,215000.0
16478,3941603.3627929688,254299.39769363403,187500.0
16479,5428046.384277344,-649419.0635604858,280000.0
16480,9389290.517333984,-1447609.3357418776,280000.0
16481,424022172.4379883,-57560047.39347839,6540000.0
16482,129967142.6237793,-14738910.119636536,2312500.0
16483,21208258.048095703,-5330329.543296814,730000.0
16484,98290074.65148926,-13369772.880706787,2027500.0
16485,8072849.310302734,-53143.92372894287,425000.0
16486,2266942.1112365723,1119383.7200622559,167500.0
16487,42944269.93310547,-4290803.336177826,1292500.0
16488,6570709.976806641,-723051.7002811432,310000.0
16489,700721.2850341797,291717.4796142578,55000.0
16490,1852814.2104492188,-514446.4791030884,150000.0
16491,44551488.521362305,-4545983.110771179,1860000.0
16492,15566255.491321087,-4339042.669906616,602500.0
16493,5739885.14251709,-1758552.2100219727,325000.0
16494,80079109.05957031,-15705629.579071045,1412500.0
16495,19010876.200675964,-5117083.295200348,630000.0
16496,65925535.677368164,-14413430.348190308,1572500.0
16497,2678373.3523864746,-7983.163841247559,145000.0
16498,68843311.79394531,-18766465.973018646,1690000.0
16499,19649852.0625,-2873460.7232894897,375000.0
16500,86265454.75061035,-15546949.905402422,2102500.0
16501,5151600.1689453125,-725449.4405651093,195000.0
16502,1143407.7850341797,-433670.5827636719,92500.0
16503,15485359.361938477,-1233646.4254951477,677500.0
16504,44385057.87109375,-4461625.034957886,1172500.0
16505,1578481.2836914062,-1075487.3870239258,125000.0
16506,36785446.703125,-10395559.450313568,927500.0
16507,28194733.692871094,-5460331.576171875,787500.0
16508,1076865.6743164062,304963.1100463867,67500.0
16509,621733850.060791,-141886869.4857483,7085000.0
16510,56876660.44117737,-15223202.870925903,1670000.0
16511,139806728.02075195,-25516312.85133362,3482500.0
16512,45738234.970703125,-14157455.302001953,792500.0
16513,3678128.06640625,590878.037109375,125000.0
16514,143535001.7097168,-17620222.59828937,3017500.0
16515,84167619.04650879,-10028938.865423203,2317500.0
16516,2202892318.556732,-618758752.2434046,26520000.0
16517,19068390.833007812,-9334101.028076172,637500.0
16518,9876284.357299805,-5473382.041748047,390000.0
16519,12560914.615661621,-2834553.2936706543,337500.0
16520,41911403.818359375,-17840337.40283203,977500.0
16521,4742041.93838501,-1210460.3519515991,177500.0
16522,13943183.698730469,-3319124.7299804688,445000.0
16523,5206693.321411133,-3240682.2925109863,215000.0
16524,787214.4786376953,-785181.234375,65000.0
16525,471680.07275390625,6745.970271110535,47500.0
16526,77552704.7135582,-15709440.455860138,1757500.0
16527,2747307.052734375,195992.96156024933,125000.0
16528,10207944.631835938,-1231896.9612426758,310000.0
16529,4804050.94921875,331697.78399562836,170000.0
16530,341834139.0607834,-59131467.20028496,6270000.0
16531,25302075.453430176,-1770015.295288086,685000.0
16532,4636880.767234802,-890109.6196594238,180000.0
16533,73552694.8751316,-5825885.639595032,1437500.0
16534,962118117.1286621,-107115124.7562561,9805000.0
16535,79802022.94665527,-6519226.19209671,1360000.0
16536,60756689.174316406,-1323554.296447754,1340000.0
16537,78610683.01904297,3506041.7456054688,1505000.0
16538,4974309.051879883,-1287439.068359375,187500.0
16539,2903311.3746643066,448675.5978164673,165000.0
16540,188944985.9058628,-56302432.81398773,3310000.0
16541,3385788.0828094482,-683427.4425048828,160000.0
16542,28948110.17602539,-3598360.2679138184,680000.0
16543,97016906.66748047,-19136491.533075333,1835000.0
16544,1872366725.10437,-410812680.74537754,20475000.0
16545,188260347033.5953,-11626847156.098013,582642500.0
16546,99761774.85674286,-19298365.60561371,1890000.0
16547,4188200.268676758,-772108.8155670166,142500.0
16548,16014559.70639038,-2694246.5654182434,577500.0
16549,38405826.55761719,-5694086.64730835,660000.0
16550,11574283.012695312,-4334606.115478516,302500.0
16551,21416679.83935547,-6570712.582458496,555000.0
16552,2270709.8833007812,-368109.18853759766,95000.0
16553,371540378.0644531,-77838959.14399147,4712500.0
16554,6256186.3935546875,-457743.24825286865,177500.0
16555,408152257.09765625,-69248332.83789062,3812500.0
16556,1026608629.7652588,-83364141.42922866,12190000.0
16557,398569877.00494385,-52880309.295108795,4410000.0
16558,89590590728.86574,-6058591566.451303,342910000.0
16559,44184819.63183594,-11332611.845123291,1077500.0
16560,18763490.939727783,-5618800.283899307,550000.0
